workload,strategy,run,latency_p50,latency_p95,latency_p99,throughput,delivery_rate,routing_overhead_ms,cpu_percent,memory_mb
W1,kafka_only,1,2.988000,4.748000,6.982000,315.4176,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,2,2.058000,3.246000,4.948000,443.7739,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,3,2.017000,2.693000,3.209000,478.5147,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,4,2.048000,3.015000,3.909000,456.5793,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,5,2.021000,2.787000,3.299000,475.4207,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,6,2.012000,2.679000,3.193000,479.6163,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,7,2.022000,2.819000,3.576000,469.2192,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,8,2.103000,3.400000,6.129000,422.9403,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,9,2.395000,3.706000,5.323000,386.9670,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,10,2.398000,3.606000,4.306000,392.5879,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,11,2.564000,3.786000,5.267000,364.8836,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,12,2.439000,3.618000,4.500000,387.8073,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,13,2.459000,3.666000,4.840000,385.1783,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,14,2.379000,3.589000,4.535000,397.7092,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,15,2.404000,3.627000,4.948000,391.8802,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,16,2.449000,3.732000,5.259000,382.1753,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,17,2.447000,3.680000,4.962000,387.0568,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,18,2.409000,3.631000,4.851000,391.6347,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,19,2.422000,3.753000,5.388000,384.9411,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,20,2.462000,3.658000,5.653000,382.7605,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,21,2.483000,3.690000,4.954000,382.8777,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,22,2.317000,3.483000,4.059000,407.8303,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,23,2.233000,3.414000,4.067000,419.2169,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,24,2.301000,3.436000,3.853000,411.3534,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,25,2.319000,3.460000,3.811000,407.9967,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,26,2.258000,3.394000,3.778000,416.1465,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,27,2.272000,3.428000,3.769000,414.4562,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,28,2.265000,3.483000,4.672000,408.8307,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,29,2.356000,3.503000,3.851000,402.1879,1.000000,0.000000,0.0000,0.0000
W1,kafka_only,30,2.218000,3.330000,3.651000,424.9171,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,1,2.011000,2.628000,3.161000,483.0451,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,2,2.010000,2.519000,3.146000,484.6840,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,3,2.044000,3.261000,4.858000,449.2363,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,4,2.022000,2.915000,3.318000,472.0990,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,5,2.047000,3.143000,4.346000,454.0501,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,6,2.007000,2.583000,3.123000,484.5431,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,7,2.028000,2.971000,3.283000,470.1900,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,8,2.080000,3.149000,3.398000,446.8675,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,9,2.041000,3.081000,3.464000,461.4249,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,10,2.030000,3.035000,3.369000,464.2095,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,11,2.015000,2.795000,3.254000,479.0649,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,12,2.009000,2.628000,3.148000,483.4655,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,13,2.012000,2.620000,3.196000,482.8119,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,14,2.013000,2.763000,3.234000,478.7896,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,15,2.018000,2.881000,3.260000,474.5184,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,16,2.013000,2.653000,3.215000,481.8813,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,17,2.008000,2.443000,3.148000,487.1870,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,18,2.007000,2.518000,3.128000,485.6727,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,19,2.012000,2.588000,3.214000,484.1677,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,20,2.012000,2.740000,3.181000,480.8155,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,21,2.003000,2.479000,3.054000,486.8549,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,22,2.010000,2.629000,3.216000,482.6255,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,23,2.010000,2.596000,3.173000,483.6525,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,24,2.015000,2.781000,3.329000,477.9201,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,25,2.014000,2.610000,3.188000,482.1601,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,26,2.011000,2.602000,3.227000,482.5789,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,27,2.012000,2.652000,3.175000,482.6255,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,28,2.012000,2.635000,3.168000,482.2066,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,29,2.010000,2.670000,3.182000,481.8348,1.000000,0.000000,0.0000,0.0000
W1,rabbitmq_only,30,2.020000,2.867000,3.324000,474.9240,1.000000,0.000000,0.0000,0.0000
W1,static_split,1,2.094000,3.112000,3.539000,449.3574,1.000000,0.000000,0.0000,0.0000
W1,static_split,2,2.057000,3.110000,3.941000,452.6525,1.000000,0.000000,0.0000,0.0000
W1,static_split,3,2.012000,2.612000,3.282000,479.8925,1.000000,0.000000,0.0000,0.0000
W1,static_split,4,2.044000,3.134000,4.488000,454.7935,1.000000,0.000000,0.0000,0.0000
W1,static_split,5,2.036000,2.876000,3.364000,469.4836,1.000000,0.000000,0.0000,0.0000
W1,static_split,6,2.043000,2.856000,3.381000,468.6036,1.000000,0.000000,0.0000,0.0000
W1,static_split,7,2.034000,2.865000,3.750000,468.6914,1.000000,0.000000,0.0000,0.0000
W1,static_split,8,2.023000,2.760000,3.269000,476.7353,1.000000,0.000000,0.0000,0.0000
W1,static_split,9,2.035000,2.963000,4.154000,462.7059,1.000000,0.000000,0.0000,0.0000
W1,static_split,10,2.067000,3.079000,3.862000,452.1204,1.000000,0.000000,0.0000,0.0000
W1,static_split,11,2.032000,2.983000,3.921000,464.2957,1.000000,0.000000,0.0000,0.0000
W1,static_split,12,2.020000,2.825000,3.447000,475.2400,1.000000,0.000000,0.0000,0.0000
W1,static_split,13,2.008000,2.443000,3.057000,486.1449,1.000000,0.000000,0.0000,0.0000
W1,static_split,14,2.017000,2.630000,3.126000,481.5564,1.000000,0.000000,0.0000,0.0000
W1,static_split,15,2.050000,3.001000,3.642000,459.6856,1.000000,0.000000,0.0000,0.0000
W1,static_split,16,2.038000,2.904000,3.558000,466.2439,1.000000,0.000000,0.0000,0.0000
W1,static_split,17,2.005000,2.401000,2.994000,488.2813,1.000000,0.000000,0.0000,0.0000
W1,static_split,18,2.015000,2.618000,3.081000,483.0451,1.000000,0.000000,0.0000,0.0000
W1,static_split,19,2.019000,2.582000,3.069000,482.9518,1.000000,0.000000,0.0000,0.0000
W1,static_split,20,2.008000,2.398000,2.978000,488.6630,1.000000,0.000000,0.0000,0.0000
W1,static_split,21,2.006000,2.374000,3.010000,486.4760,1.000000,0.000000,0.0000,0.0000
W1,static_split,22,2.011000,2.395000,3.053000,487.2819,1.000000,0.000000,0.0000,0.0000
W1,static_split,23,2.034000,2.982000,3.663000,464.3388,1.000000,0.000000,0.0000,0.0000
W1,static_split,24,2.045000,2.989000,3.619000,461.6805,1.000000,0.000000,0.0000,0.0000
W1,static_split,25,2.049000,3.129000,4.760000,451.6712,1.000000,0.000000,0.0000,0.0000
W1,static_split,26,2.022000,2.799000,3.744000,470.5439,1.000000,0.000000,0.0000,0.0000
W1,static_split,27,2.022000,2.837000,4.222000,470.3226,1.000000,0.000000,0.0000,0.0000
W1,static_split,28,2.058000,3.158000,4.337000,449.6807,1.000000,0.000000,0.0000,0.0000
W1,static_split,29,2.041000,3.113000,4.776000,453.7617,1.000000,0.000000,0.0000,0.0000
W1,static_split,30,2.032000,2.894000,3.915000,468.6036,1.000000,0.000000,0.0000,0.0000
W1,adaptroute,1,2.040000,3.219000,7.267000,438.8275,1.000000,0.000633,0.0000,0.0000
W1,adaptroute,2,2.030000,2.934000,4.138000,459.6433,1.000000,0.000229,0.0000,0.0000
W1,adaptroute,3,2.010000,2.553000,3.642000,481.0005,1.000000,0.000114,0.0000,0.0000
W1,adaptroute,4,2.003000,2.287000,2.806000,492.6594,1.000000,0.000055,0.0000,0.0000
W1,adaptroute,5,2.003000,2.282000,2.779000,492.6594,1.000000,0.000041,0.0000,0.0000
W1,adaptroute,6,2.004000,2.282000,2.874000,491.7388,1.000000,0.000044,0.0000,0.0000
W1,adaptroute,7,2.000000,2.269000,2.657000,494.2177,1.000000,0.000030,0.0000,0.0000
W1,adaptroute,8,2.005000,2.302000,2.798000,492.5623,1.000000,0.000031,0.0000,0.0000
W1,adaptroute,9,2.003000,2.324000,2.907000,491.0627,1.000000,0.000042,0.0000,0.0000
W1,adaptroute,10,2.004000,2.304000,2.798000,492.0291,1.000000,0.000033,0.0000,0.0000
W1,adaptroute,11,2.002000,2.292000,2.766000,491.9323,1.000000,0.000050,0.0000,0.0000
W1,adaptroute,12,2.005000,2.329000,3.039000,488.0906,1.000000,0.000051,0.0000,0.0000
W1,adaptroute,13,2.013000,2.472000,3.098000,483.4655,1.000000,0.000549,0.0000,0.0000
W1,adaptroute,14,2.013000,2.456000,3.277000,483.7929,1.000000,0.000098,0.0000,0.0000
W1,adaptroute,15,2.008000,2.365000,2.977000,488.6153,1.000000,0.000065,0.0000,0.0000
W1,adaptroute,16,2.001000,2.271000,2.642000,494.5598,1.000000,0.000026,0.0000,0.0000
W1,adaptroute,17,2.010000,2.478000,3.144000,485.2014,1.000000,0.000061,0.0000,0.0000
W1,adaptroute,18,2.006000,2.325000,2.915000,490.3884,1.000000,0.000051,0.0000,0.0000
W1,adaptroute,19,2.003000,2.315000,2.824000,491.5454,1.000000,0.000052,0.0000,0.0000
W1,adaptroute,20,2.002000,2.291000,2.801000,493.2426,1.000000,0.000039,0.0000,0.0000
W1,adaptroute,21,2.002000,2.294000,2.806000,492.2713,1.000000,0.000058,0.0000,0.0000
W1,adaptroute,22,2.014000,2.611000,3.213000,480.1690,1.000000,0.000098,0.0000,0.0000
W1,adaptroute,23,2.006000,2.333000,2.920000,490.2922,1.000000,0.000058,0.0000,0.0000
W1,adaptroute,24,2.005000,2.333000,2.806000,491.6904,1.000000,0.000046,0.0000,0.0000
W1,adaptroute,25,2.007000,2.320000,2.913000,490.7253,1.000000,0.000044,0.0000,0.0000
W1,adaptroute,26,2.003000,2.278000,2.738000,493.6809,1.000000,0.000049,0.0000,0.0000
W1,adaptroute,27,2.005000,2.308000,2.928000,488.8541,1.000000,0.000050,0.0000,0.0000
W1,adaptroute,28,2.007000,2.337000,2.972000,488.8063,1.000000,0.000056,0.0000,0.0000
W1,adaptroute,29,2.004000,2.278000,2.740000,492.8050,1.000000,0.000061,0.0000,0.0000
W1,adaptroute,30,2.005000,2.293000,2.801000,493.0966,1.000000,0.000050,0.0000,0.0000
W2,kafka_only,1,2.533000,3.793000,6.253000,253.4854,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,2,2.512000,3.010000,3.686000,256.0819,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,3,2.565000,4.542000,9.163000,247.0051,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,4,2.524000,3.045000,3.863000,257.7984,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,5,2.546000,3.098000,4.251000,258.0312,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,6,2.540000,3.023000,3.246000,257.4665,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,7,2.510000,2.985000,3.205000,257.9979,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,8,2.476000,3.004000,4.111000,254.5501,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,9,2.511000,3.059000,4.145000,255.4605,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,10,2.515000,3.029000,3.305000,258.6987,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,11,2.500000,3.036000,3.817000,255.9836,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,12,2.483000,3.322000,5.232000,253.6783,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,13,2.498000,2.961000,3.341000,255.6564,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,14,2.492000,3.019000,4.099000,254.6473,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,15,2.518000,3.562000,5.748000,251.6990,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,16,2.547000,3.127000,5.360000,254.0005,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,17,2.547000,3.166000,4.212000,258.2311,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,18,2.548000,3.068000,3.359000,260.3828,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,19,2.515000,3.366000,4.874000,254.8095,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,20,2.489000,2.994000,3.328000,257.5992,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,21,2.483000,2.983000,3.197000,257.9647,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,22,2.497000,3.021000,3.861000,255.8199,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,23,2.496000,2.964000,3.215000,257.2016,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,24,2.515000,3.002000,3.368000,257.8316,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,25,2.519000,3.254000,5.162000,252.3023,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,26,2.540000,3.115000,4.237000,258.0312,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,27,2.467000,2.965000,3.436000,254.5501,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,28,2.514000,3.087000,4.035000,255.5911,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,29,2.503000,3.026000,3.819000,256.8053,1.000000,0.000000,0.0000,0.0000
W2,kafka_only,30,2.498000,2.998000,3.705000,254.9395,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,1,2.582000,2.962000,3.182000,261.9515,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,2,2.552000,2.981000,3.891000,258.4313,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,3,2.577000,2.980000,3.229000,261.5747,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,4,2.542000,2.931000,3.135000,259.0338,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,5,2.541000,2.932000,3.173000,259.2017,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,6,2.531000,2.929000,3.118000,258.1645,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,7,2.547000,2.963000,3.232000,259.5043,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,8,2.564000,2.963000,3.161000,260.9603,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,9,2.648000,3.504000,5.449000,264.1310,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,10,2.583000,3.003000,3.229000,261.6089,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,11,2.635000,3.336000,4.885000,261.9515,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,12,2.614000,3.045000,3.332000,263.6088,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,13,2.566000,2.974000,3.238000,260.1457,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,14,2.607000,3.005000,3.229000,262.7776,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,15,2.575000,2.984000,3.171000,260.9263,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,16,2.570000,2.987000,3.291000,259.7403,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,17,2.558000,3.014000,4.259000,259.3697,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,18,2.555000,2.960000,3.373000,258.4981,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,19,2.553000,2.955000,3.190000,259.4370,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,20,2.559000,2.961000,3.204000,261.0966,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,21,2.576000,2.978000,3.374000,260.6542,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,22,2.555000,3.372000,3.579000,265.2168,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,23,2.569000,3.365000,3.644000,266.5600,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,24,2.565000,3.468000,4.836000,262.7430,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,25,2.569000,3.389000,3.769000,266.3825,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,26,2.534000,3.387000,3.640000,265.2872,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,27,2.558000,3.412000,3.703000,265.1816,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,28,2.531000,3.386000,3.852000,264.1659,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,29,2.545000,3.359000,3.546000,266.2052,1.000000,0.000000,0.0000,0.0000
W2,rabbitmq_only,30,2.549000,3.365000,3.533000,266.9871,1.000000,0.000000,0.0000,0.0000
W2,static_split,1,2.531000,3.431000,4.827000,260.0104,1.000000,0.000000,0.0000,0.0000
W2,static_split,2,2.528000,3.310000,3.476000,264.4453,1.000000,0.000000,0.0000,0.0000
W2,static_split,3,2.538000,3.375000,3.612000,264.7253,1.000000,0.000000,0.0000,0.0000
W2,static_split,4,2.527000,3.392000,3.683000,264.1310,1.000000,0.000000,0.0000,0.0000
W2,static_split,5,2.552000,3.351000,3.548000,264.2706,1.000000,0.000000,0.0000,0.0000
W2,static_split,6,2.538000,3.369000,3.978000,263.2272,1.000000,0.000000,0.0000,0.0000
W2,static_split,7,2.546000,3.354000,3.520000,265.2168,1.000000,0.000000,0.0000,0.0000
W2,static_split,8,2.516000,3.424000,4.271000,261.0966,1.000000,0.000000,0.0000,0.0000
W2,static_split,9,2.541000,3.334000,3.535000,264.8656,1.000000,0.000000,0.0000,0.0000
W2,static_split,10,2.558000,3.364000,3.535000,266.4535,1.000000,0.000000,0.0000,0.0000
W2,static_split,11,2.524000,3.351000,3.600000,263.7826,1.000000,0.000000,0.0000,0.0000
W2,static_split,12,2.556000,3.381000,3.583000,265.2872,1.000000,0.000000,0.0000,0.0000
W2,static_split,13,2.542000,3.391000,3.636000,265.4280,1.000000,0.000000,0.0000,0.0000
W2,static_split,14,2.585000,3.431000,3.690000,267.4512,1.000000,0.000000,0.0000,0.0000
W2,static_split,15,2.529000,3.385000,4.277000,262.8466,1.000000,0.000000,0.0000,0.0000
W2,static_split,16,2.568000,3.398000,3.736000,266.1698,1.000000,0.000000,0.0000,0.0000
W2,static_split,17,2.563000,3.396000,3.602000,266.1344,1.000000,0.000000,0.0000,0.0000
W2,static_split,18,2.572000,3.415000,4.214000,262.9849,1.000000,0.000000,0.0000,0.0000
W2,static_split,19,2.608000,3.520000,4.974000,261.5405,1.000000,0.000000,0.0000,0.0000
W2,static_split,20,2.609000,3.494000,3.968000,265.5690,1.000000,0.000000,0.0000,0.0000
W2,static_split,21,2.574000,3.437000,3.906000,264.9709,1.000000,0.000000,0.0000,0.0000
W2,static_split,22,2.553000,3.455000,4.192000,261.1648,1.000000,0.000000,0.0000,0.0000
W2,static_split,23,2.574000,3.333000,3.500000,266.9871,1.000000,0.000000,0.0000,0.0000
W2,static_split,24,2.537000,3.419000,3.599000,264.7954,1.000000,0.000000,0.0000,0.0000
W2,static_split,25,2.533000,3.411000,3.639000,265.3576,1.000000,0.000000,0.0000,0.0000
W2,static_split,26,2.509000,3.342000,3.669000,262.1576,1.000000,0.000000,0.0000,0.0000
W2,static_split,27,2.543000,3.397000,3.614000,264.5503,1.000000,0.000000,0.0000,0.0000
W2,static_split,28,2.548000,3.438000,4.325000,261.4379,1.000000,0.000000,0.0000,0.0000
W2,static_split,29,2.536000,3.346000,3.626000,262.7085,1.000000,0.000000,0.0000,0.0000
W2,static_split,30,2.587000,3.427000,3.724000,266.7378,1.000000,0.000000,0.0000,0.0000
W2,adaptroute,1,2.609000,3.585000,5.436000,260.5184,1.000000,0.000364,0.0000,0.0000
W2,adaptroute,2,2.617000,3.551000,3.818000,266.1698,1.000000,0.000489,0.0000,0.0000
W2,adaptroute,3,2.606000,3.452000,3.934000,266.8802,1.000000,0.000346,0.0000,0.0000
W2,adaptroute,4,2.552000,3.401000,3.906000,266.4890,1.000000,0.000193,0.0000,0.0000
W2,adaptroute,5,2.545000,3.384000,3.712000,263.9916,1.000000,0.000210,0.0000,0.0000
W2,adaptroute,6,2.546000,3.373000,3.657000,265.2168,1.000000,0.000194,0.0000,0.0000
W2,adaptroute,7,2.560000,3.416000,3.752000,264.7954,1.000000,0.000299,0.0000,0.0000
W2,adaptroute,8,2.536000,3.375000,3.591000,265.0060,1.000000,0.000154,0.0000,0.0000
W2,adaptroute,9,2.549000,3.367000,3.595000,266.4535,1.000000,0.000136,0.0000,0.0000
W2,adaptroute,10,2.542000,3.369000,3.567000,264.3754,1.000000,0.000113,0.0000,0.0000
W2,adaptroute,11,2.541000,3.403000,3.693000,264.3055,1.000000,0.000184,0.0000,0.0000
W2,adaptroute,12,2.556000,3.365000,3.674000,265.2872,1.000000,0.000191,0.0000,0.0000
W2,adaptroute,13,2.524000,3.386000,3.695000,261.9172,1.000000,0.000148,0.0000,0.0000
W2,adaptroute,14,2.564000,3.403000,3.951000,266.3471,1.000000,0.000239,0.0000,0.0000
W2,adaptroute,15,2.530000,3.396000,3.613000,264.7253,1.000000,0.000159,0.0000,0.0000
W2,adaptroute,16,2.573000,3.395000,3.606000,269.1428,1.000000,0.000157,0.0000,0.0000
W2,adaptroute,17,2.527000,3.359000,3.669000,263.1925,1.000000,0.000138,0.0000,0.0000
W2,adaptroute,18,2.546000,3.379000,3.672000,264.7604,1.000000,0.000205,0.0000,0.0000
W2,adaptroute,19,2.546000,3.383000,3.607000,264.0613,1.000000,0.000164,0.0000,0.0000
W2,adaptroute,20,2.590000,3.439000,3.759000,267.3797,1.000000,0.000271,0.0000,0.0000
W2,adaptroute,21,2.545000,3.443000,4.427000,263.0541,1.000000,0.000288,0.0000,0.0000
