workload,strategy,n,latency_p50_mean,latency_p50_sd,latency_p95_mean,latency_p95_sd,latency_p99_mean,latency_p99_sd,throughput_mean,throughput_sd,delivery_rate_mean,delivery_rate_sd,routing_overhead_ms_mean,routing_overhead_ms_sd
W1,adaptroute,30,2.0074,0.0084,2.3912,0.2083,3.0995,0.8431,487.3209,11.3548,1.0000,0.0000,0.0001,0.0001
W1,kafka_only,30,2.3173,0.2070,3.4687,0.3993,4.5181,0.8980,409.0959,36.3722,1.0000,0.0000,0.0000,0.0000
W1,rabbitmq_only,30,2.0185,0.0160,2.7478,0.2173,3.3160,0.3669,476.8702,11.0017,1.0000,0.0000,0.0000,0.0000
W1,static_split,30,2.0326,0.0204,2.8274,0.2518,3.6334,0.5243,469.1835,12.7843,1.0000,0.0000,0.0000,0.0000
W2,adaptroute,30,2.5594,0.0341,3.4408,0.1402,3.9984,0.8937,264.5088,2.3487,1.0000,0.0000,0.0002,0.0001
W2,kafka_only,30,2.5134,0.0242,3.1541,0.3219,4.2211,1.2354,255.8100,2.6121,1.0000,0.0000,0.0000,0.0000
W2,rabbitmq_only,30,2.5670,0.0281,3.1283,0.2096,3.5816,0.5777,262.0499,2.7325,1.0000,0.0000,0.0000,0.0000
W2,static_split,30,2.5508,0.0250,3.3957,0.0478,3.8353,0.3880,264.2168,1.9315,1.0000,0.0000,0.0000,0.0000
W3,adaptroute,30,2.3729,0.0540,3.2104,0.0950,3.6282,0.5676,346.0456,3.0836,1.0000,0.0000,0.0002,0.0001
W3,kafka_only,30,2.3837,0.0370,3.4548,0.0623,4.0724,0.3635,357.0300,3.0895,1.0000,0.0000,0.0000,0.0000
W3,rabbitmq_only,30,2.3477,0.0459,3.1878,0.0716,3.5900,0.3847,346.3611,2.3380,1.0000,0.0000,0.0000,0.0000
W3,static_split,30,2.3189,0.0426,3.2820,0.0872,3.7672,0.3666,353.1833,2.7244,1.0000,0.0000,0.0000,0.0000
W4,adaptroute,30,2.7119,0.0590,4.0078,0.3596,6.1096,1.1301,163.3291,1.3261,1.0000,0.0000,0.0005,0.0002
W4,kafka_only,30,2.7224,0.0716,4.0432,0.3451,6.0781,0.8786,163.2787,1.3946,1.0000,0.0000,0.0000,0.0000
W4,rabbitmq_only,30,2.6946,0.0309,3.6802,0.0740,4.5636,0.5707,165.2706,0.6180,1.0000,0.0000,0.0000,0.0000
W4,static_split,30,2.7359,0.0593,4.0854,0.4239,6.4429,1.5344,163.1540,1.4274,1.0000,0.0000,0.0000,0.0000
